"ID","Model","Classification","ObsNoise","ProcessNoise","TSlength","SimNumber","E","tau","theta","R2","modelform","LEmean","LEmin","LEreg","LEreg_se","Classification2","LEregmin","LEregclass","LEclass"
4,"SeasonalPredatorPrey","periodic",0.01,3,100,"Sim.2",6,1,4,0.936052419622022,"ut-ut",0.051454303444957,0.0385301119513825,0.274724198594879,0.0140755157251044,"not chaotic",0.247136187773675,"chaotic","chaotic"
5,"SeasonalPredatorPrey","periodic",0.1,0,100,"Sim.2",4,1,0,0.999711756931662,"gr-ut",0.0146993486807078,-0.00420522636556738,0.362521582961437,0.0377981942170331,"not chaotic",0.288437122296052,"chaotic","not chaotic"
6,"SeasonalPredatorPrey","periodic",0.1,1,100,"Sim.2",5,1,6,0.986277831813504,"gr-ut",-0.143240456678315,-0.167233077442345,0.296455456680527,0.0046948672130958,"not chaotic",0.287253516942859,"chaotic","not chaotic"
7,"SeasonalPredatorPrey","periodic",0.1,2,100,"Sim.2",5,1,3,0.955497886257672,"gr-log",-0.00370838114491316,-0.0274488863995314,0.29030071061846,0.00462112099699422,"not chaotic",0.281243313464351,"chaotic","not chaotic"
8,"SeasonalPredatorPrey","periodic",0.1,3,100,"Sim.2",2,1,8,0.908170377945767,"gr-log",-0.384429623006751,-0.417325863940562,0.440006937506213,0.0864120182594814,"not chaotic",0.27063938171763,"chaotic","not chaotic"
9,"SeasonalPredatorPrey","periodic",0.2,0,100,"Sim.2",4,1,0,0.998932504328988,"gr-ut",0.0125470271293052,-0.00611181390365738,0.322863855933596,0.030229501090368,"not chaotic",0.263614033796475,"chaotic","not chaotic"
10,"SeasonalPredatorPrey","periodic",0.2,1,100,"Sim.2",5,1,4,0.986450128740466,"gr-ut",-0.134400122654214,-0.161171024477649,0.358912676410302,0.00620705370589778,"not chaotic",0.346746851146743,"chaotic","not chaotic"
11,"SeasonalPredatorPrey","periodic",0.2,2,100,"Sim.2",3,1,8,0.95591730894359,"ut-ut",-0.0939927109548344,-0.143047805067497,0.472658165691523,0.0366978995182701,"not chaotic",0.400730282635714,"chaotic","not chaotic"
12,"SeasonalPredatorPrey","periodic",0.2,3,100,"Sim.2",2,1,4,0.929917188706349,"gr-ut",-0.0630057366499099,-0.0831452234436852,0.461502293387806,0.0720470597711344,"not chaotic",0.320290056236383,"chaotic","not chaotic"
13,"SeasonalPredatorPrey","periodic",0.3,0,100,"Sim.2",4,1,0,0.998635111124541,"gr-ut",0.0105041392828013,-0.0110015576407333,0.322990423358225,0.0265307334595083,"not chaotic",0.270990185777588,"chaotic","not chaotic"
14,"SeasonalPredatorPrey","periodic",0.3,1,100,"Sim.2",6,1,0,0.981246209565364,"gr-log",0.0141051481874118,-0.00280314885686105,0.26734148976162,0.0127904988172056,"not chaotic",0.242272112079897,"chaotic","not chaotic"
15,"SeasonalPredatorPrey","periodic",0.3,2,100,"Sim.2",5,1,4,0.936441218189709,"ut-ut",0.00409100900976736,-0.0149893983513146,0.243778158011045,0.00306334458368434,"not chaotic",0.237774002627024,"chaotic","not chaotic"
16,"SeasonalPredatorPrey","periodic",0.3,3,100,"Sim.2",4,1,4,0.926110770021648,"ut-ut",0.0649321828204139,0.0558317215108099,0.338554031742264,0.0106153384767844,"not chaotic",0.317747968327766,"chaotic","chaotic"
17,"SeasonalPredatorPrey","chaotic",0.01,0,100,"Sim.2",4,1,8,0.995180642523067,"gr-log",0.260998019372566,0.246526945601493,0.145812036143371,0.00957348130483156,"chaotic",0.127048012785901,"chaotic","chaotic"
18,"SeasonalPredatorPrey","chaotic",0.01,1,100,"Sim.2",6,1,8,0.986610585554775,"gr-log",0.185083881953212,0.152245396443115,0.0604227610700095,0.00230075504436129,"chaotic",0.0559132811830614,"chaotic","chaotic"
19,"SeasonalPredatorPrey","chaotic",0.01,2,100,"Sim.2",6,2,4,0.977191021018814,"gr-log",0.0579090219656078,0.0518212990485776,0.0573973424708815,0.0196941796246141,"chaotic",0.0187967504066378,"chaotic","chaotic"
20,"SeasonalPredatorPrey","chaotic",0.01,3,100,"Sim.2",6,1,6,0.9743337319898,"gr-ut",0.107158396401136,0.0954437321524043,0.0992208590151231,0.00830742542696543,"chaotic",0.0829383051782708,"chaotic","chaotic"
