MainID,TaxonID,TaxonName,CommonName,TaxonomicPhylum,TaxonomicClass,TaxonomicOrder,Biome,Mass_g,Length_mm,MinAge_mo,Lifespan_mo,Fertility,TrL,Notes,Size_other,GT_other
9834,81,Myocastor coypus,Nutria or Coypu,Chordata,Mammalia,Rodentia,Terrestrial,8000,896,8,72,6,3,,,
9893,12067,Lanius excubitor,Northern shrike,Chordata,Aves,Passeriformes,Terrestrial,66,250,12,96,7,5,,,
9894,393,Clethrionomys rufocanus,"Grey-sided vole, red-grey vole",Chordata,Mammalia,Rodentia,Terrestrial,39,133,4,24,18,4,,,
9917,390,Microtus agrestis,Field vole,Chordata,Mammalia,Rodentia,Terrestrial,27,160,1,18,15,4,,,
9918,391,Microtus oeconomus,Root vole,Chordata,Mammalia,Rodentia,Terrestrial,32,155,1,18,18,4,,,
9919,392,Clethrionomys rutilus,Northern red-backed vole,Chordata,Mammalia,Rodentia,Terrestrial,23,133,4,24,18,4,,,
9920,393,Clethrionomys rufocanus,"Grey-sided vole, red-grey vole",Chordata,Mammalia,Rodentia,Terrestrial,39,133,4,24,18,4,,,
9921,51,Clethrionomys glareolus,Bank vole,Chordata,Mammalia,Rodentia,Terrestrial,22,133,4,24,18,4,,,
9923,12071,Microtus,Voles,Chordata,Mammalia,Rodentia,Terrestrial,27,160,1,18,15,3,,,
9949,399,Operophtera brumata,Winter moth,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.0293,9,8,10,400,3,Anderson Gilooly 2017,,
9950,399,Operophtera brumata,Winter moth,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.0293,9,8,10,400,3,Anderson Gilooly 2017,,
9953,734,Lagopus mutus,Rock ptarmigan,Chordata,Aves,Galliformes,Terrestrial,422,360,10,84,7,3,,,
9955,11093,Microtus californicus,California vole,Chordata,Mammalia,Rodentia,Terrestrial,56,172,2,18,18,3,,,
